股票代码,股票简称,公告日期,营业收入,营业收入同比增长,营业收入季度环比,净利润,净利润同比增长,净利润季度环比,每股收益,每股净资产,净资产收益率,销售毛利率,每股经营现金流量
688062,迈威生物,2022-04-30 00:00:00,4067989.08,1306.0618155929,-26.2764,-220354943.66,40.05,13.5555,-0.55,10.383592012588,-5.21,98.566780076,-0.652706276251
688060,云涌科技,2022-04-30 00:00:00,38604138.81,5.3829521594,-76.2526,6068618.33,6.04,-69.2961,0.1011,16.112457817333,0.6313,49.0052234376,-0.253599477167
688051,佳华科技,2022-04-30 00:00:00,63803878.94,-41.0229462034,-48.538,-36972002.46,-549.53,70.1571,-0.48,16.688645589909,-2.83,30.1421081908,-1.385384024362
688049,炬芯科技,2022-04-30 00:00:00,86834904.86,-14.5642068955,-28.5478,10493787.21,83.05,-47.3401,0.086,14.117783936393,0.61,42.5217655729,-0.285046928197
688038,中科通达,2022-04-30 00:00:00,27448165.74,-56.1132958626,-86.1648,-6922438.57,-233.55,-128.5328,-0.06,6.304037291941,-0.94,35.891459099,-0.51539865373
688033,天宜上佳,2022-04-30 00:00:00,173374008.8,130.3784782206,-41.3821,34268815.34,233.75,-54.1486,0.08,5.866268387478,1.31,57.9939549797,0.023345253793
688032,禾迈股份,2022-04-30 00:00:00,228950861.61,95.5276431393,-20.5786,87248325.28,175.23,8.8722,2.18,151.8131623,1.45,48.1989205474,0.73287394325
688026,洁特生物,2022-04-30 00:00:00,190362813.69,9.4202603702,-14.8136,41015898.04,-14.64,102.7513,0.41,10.1790830052,4.12,38.9070649642,0.2081363551
688025,杰普特,2022-04-30 00:00:00,277713653.05,8.5112981263,-16.7594,24337429.7,11.94,-20.475,0.26,18.8553394738,1.4,32.4021183121,0.091397840358
688021,奥福环保,2022-04-30 00:00:00,55566314.31,-38.6833381154,-53.4281,9926677.22,-62.92,94.8433,0.13,12.25036905289,1.05,44.5672215397,-0.172936367832
688018,乐鑫科技,2022-04-30 00:00:00,288948064.55,6.8145987122,-29.2378,27852092.14,-18.08,-44.5835,0.3475,23.383113479899,1.51,41.0419567595,-0.459967351125
688016,心脉医疗,2022-04-30 00:00:00,257879693.03,30.5944959387,47.8055,123485049.98,21.44,87.4654,1.72,22.540798905257,7.92,77.8180642733,2.018986022522
688010,福光股份,2022-04-30 00:00:00,131428926.84,6.2259444104,-31.4955,12762562.77,12.71,-2.1858,0.08,11.624474458172,0.72,29.4088621655,-0.291984392723
688006,杭可科技,2022-04-30 00:00:00,796751277.26,155.3984932438,10.4134,93669001.3,80.17,3280.6748,0.23,7.315622541467,3.25,30.3004066564,0.44302678387
688005,容百科技,2022-04-30 00:00:00,5168288343.81,270.7517301362,28.9596,292538030.75,144.66,-19.2548,0.65,12.807813544019,5.24,13.5874632879,-0.257344763531
688003,天准科技,2022-04-30 00:00:00,141627120.81,21.0533032295,-78.9604,-33580391.66,-64.330168388,-129.9448,-0.1767,7.850955306353,-2.2,37.9258170348,-0.913001674019
688002,睿创微纳,2022-04-30 00:00:00,445136525.26,16.9572877665,-22.1487,14281876.43,-85.09,-87.7133,0.0321,7.877212741213,0.41,47.3090577901,-0.101344160674
605598,上海港湾,2022-04-30 00:00:00,243448078.0,35.5781161443,66.4467,105206990.53,154.68,1970.6799,0.61,8.710901498752,7.89,60.9645038315,1.167310493311
605580,恒盛能源,2022-04-30 00:00:00,189339812.37,9.5002870904,-27.9219,40567101.99,27.39,17.1024,0.2,4.43891518565,4.68,30.0389296356,-0.06290552905
605566,福莱蒽特,2022-04-30 00:00:00,228940796.54,-23.8634539528,-28.6214,20337717.88,-62.68,-39.2973,0.15,15.444860502475,0.99,19.0080539719,-0.511946996325
605499,东鹏饮料,2022-04-30 00:00:00,2006542868.33,17.2551712253,41.5441,344648919.77,0.81,75.014,0.8616,9.956649734932,7.81,43.1869138371,0.728365758106
605339,南侨食品,2022-04-30 00:00:00,660265232.42,1.9351906344,-19.2358,53020608.84,-45.7,-43.9804,0.12,7.623691017573,1.64,26.198611056,0.185213159265
605319,无锡振华,2022-04-30 00:00:00,413408076.19,23.1878684743,-22.4636,18361156.9,-36.38,-33.4663,0.09,8.8891266003,1.04,14.746182956,-0.6219159945
605318,法狮龙,2022-04-30 00:00:00,117522851.89,66.9189186169,-47.9848,5436358.01,-46.42,-70.4469,0.04,6.58759830616,0.67,23.5405197756,-0.770850884337
605196,华通线缆,2022-04-30 00:00:00,952418582.42,34.4014283216,-17.6633,22835543.76,37.52,-57.8684,0.05,4.357325298393,1.04,16.186658158,0.056416105913
605186,健麾信息,2022-04-30 00:00:00,45380407.33,11.1942026631,-77.8328,7052836.21,10.65,-82.2822,0.05,6.680718757574,0.78,54.7771609876,-0.444854779779
605180,华生科技,2022-04-30 00:00:00,80229862.59,-47.2923293013,-46.045,21169702.59,-53.42,-29.4082,0.21,11.6512865928,1.83,33.3721765757,-0.1720835701
605179,一鸣食品,2022-04-30 00:00:00,556312071.37,12.9517678889,-11.8674,-39952048.24,-497.66,3.2213,-0.1,2.923781382519,-1.44,30.804458499,0.181258246185
